"id","name","country_id","created_at","updated_at"
1,South Nation,11,2017-09-22 04:12:11.308,2017-09-22 04:12:11.308
2,Palmichal Mill,13,2017-09-22 23:38:38.700,2017-09-22 23:38:38.700
3,Sipacapa,4,2017-09-23 00:08:23.526,2017-09-23 00:08:23.526
4,Haru,11,2017-09-23 00:09:19.164,2017-09-23 00:09:19.164
5,Guji Highlands,11,2017-09-23 00:10:22.340,2017-09-23 00:10:22.340
6,Oromia,11,2017-09-23 22:59:38.760,2017-09-23 22:59:38.760
7,Limmu Kossa,11,2017-09-28 20:17:43.975,2017-09-28 20:17:43.975
8,Kirinyaga,3,2017-09-28 20:23:00.846,2017-09-28 20:23:00.846
9,Huehuetenango,4,2017-10-13 14:28:50.788,2017-10-13 14:28:50.788
10,Yirgacheffe,11,2017-11-08 16:54:58.591,2017-11-08 16:54:58.591
11,Mzimba,21,2017-11-10 02:55:24.943,2017-11-10 02:55:24.943
12,Nyeri,3,2017-11-10 03:02:39.314,2017-11-10 03:02:39.314
13,Los Santos,13,2017-11-10 03:21:03.123,2017-11-10 03:21:03.123
14,Apaneca Ilamatepec,19,2017-11-10 03:24:40.691,2017-11-10 03:24:40.691
15,West Valley,13,2017-11-10 03:33:01.068,2017-11-10 03:33:01.068
17,De Grama Valley,16,2017-11-10 03:54:13.740,2017-11-10 03:54:13.740
16,Valle de Grama,16,2017-11-10 03:38:43.544,2017-11-10 22:18:29.676
18,Guanga,11,2017-11-16 23:32:44.079,2017-11-16 23:32:44.079
19,Sierra Mixteca,18,2017-11-16 23:34:31.775,2017-11-16 23:34:31.775
20,Sidama Zone,11,2017-11-23 18:34:22.165,2017-11-23 18:34:22.165
21,Nyamasheke,24,2017-11-30 23:48:59.714,2017-11-30 23:48:59.714
22,Vallecillo,22,2017-12-01 01:40:49.750,2017-12-01 01:40:49.750
23,Gedeo Zone,11,2018-01-09 02:42:33.162,2018-01-09 02:42:33.162
155,San Martín,23,2019-11-08 19:28:54.294,2019-11-08 19:28:54.294
25,Gatare,24,2018-05-17 18:39:25.827,2018-05-17 18:39:25.827
158,Chiapas,18,2019-11-22 00:31:31.993,2019-11-22 00:31:31.993
27,Cajamarca,23,2018-05-22 16:27:52.484,2018-05-22 16:27:52.484
28,Cerrado,16,2018-05-26 01:08:42.305,2018-05-26 01:08:42.305
29,Guji Zone,11,2018-07-25 19:48:37.603,2018-07-25 19:48:37.603
30,San Isidro,13,2018-07-25 20:04:38.572,2018-07-25 20:04:38.572
162,Northern Province,24,2019-12-13 21:35:50.432,2019-12-13 21:35:50.432
163,Itasy,65,2019-12-27 23:12:28.156,2019-12-27 23:12:28.156
33,"Alta Parnaíba, Cerrado Mineiro",16,2018-08-01 21:02:57.602,2018-08-01 21:02:57.602
34,Central Highlands,3,2018-08-06 21:30:04.810,2018-08-06 21:30:04.810
35,Guji,11,2018-08-06 23:59:06.410,2018-08-06 23:59:06.410
36,Sidamo,11,2018-08-07 00:11:27.379,2018-08-07 00:11:27.379
37,Cerrado Mineiro,16,2018-08-09 00:12:27.400,2018-08-09 00:12:27.400
38,Vale da Grama,16,2018-08-09 14:41:19.058,2018-08-09 14:41:19.058
39,Serras de Minas,16,2018-08-15 16:39:21.904,2018-08-15 16:39:21.904
41,Tolima,14,2018-08-15 17:34:12.047,2018-08-15 17:34:12.047
42,Naranjo,13,2018-08-17 15:32:18.003,2018-08-17 15:32:18.003
43,Chapadas de Minas,16,2018-08-17 15:39:25.195,2018-08-17 15:39:25.195
44,Tarrazu,13,2018-08-17 15:59:43.131,2018-08-17 15:59:43.131
45,Sidama,11,2018-08-17 16:23:39.078,2018-08-17 16:23:39.078
46,Mara,27,2018-08-19 18:38:13.119,2018-08-19 18:38:13.119
47,Estelli,17,2018-08-20 15:51:49.812,2018-08-20 15:51:49.812
48,Kaffa Zone,11,2018-08-21 17:15:14.594,2018-08-21 17:15:14.594
49,Jimma Zone,11,2018-08-23 18:20:08.973,2018-08-23 18:20:08.973
50,Quetzaltenango,4,2018-08-24 16:50:55.141,2018-08-24 16:50:55.141
51,Western India,28,2018-08-27 23:02:27.631,2018-08-27 23:02:27.631
52,Jimma ,11,2018-08-28 15:39:47.293,2018-08-28 15:39:47.293
53,Gedab,11,2018-08-30 19:23:22.218,2018-08-30 19:23:22.218
54,Santa Maria de Dota,13,2018-08-31 01:34:24.404,2018-08-31 01:34:24.404
55,Lapa Las Segovias,17,2018-09-04 15:10:05.058,2018-09-04 15:10:05.058
56,Central Valley,13,2018-09-06 14:23:11.318,2018-09-06 14:23:11.318
58,Diamate de Jaen,23,2018-09-06 15:04:38.454,2018-09-06 15:04:38.454
59,Ixban,4,2018-09-08 15:14:51.701,2018-09-08 15:14:51.701
61,Alotepec,19,2018-09-13 15:49:39.187,2018-09-13 15:49:39.187
62,Sumatra,32,2018-09-15 21:12:17.982,2018-09-15 21:12:17.982
63,Mount Kenya,3,2018-09-16 00:37:59.867,2018-09-16 00:37:59.867
64,Matas de Minas,16,2018-09-19 21:52:23.982,2018-09-19 21:52:23.982
65,West Arsi,11,2018-09-19 22:12:28.356,2018-09-19 22:12:28.356
66,El Tambo,14,2018-09-23 23:55:23.503,2018-09-23 23:55:23.503
67,Southern Highlands,27,2018-09-28 01:33:24.620,2018-09-28 01:33:24.620
68,Sulawesi,32,2018-10-01 00:56:33.389,2018-10-01 00:56:33.389
69,Cerro Chirripo,13,2018-10-03 02:30:37.606,2018-10-03 02:30:37.606
70,Shan Mandalay,34,2018-10-03 02:34:13.056,2018-10-03 02:34:13.056
71,Santa Barbara,22,2018-10-03 14:20:08.965,2018-10-03 14:20:08.965
72,Mafinga Hills,35,2018-10-07 03:31:48.547,2018-10-07 03:31:48.547
73,Ichamama,3,2018-10-09 23:30:37.711,2018-10-09 23:30:37.711
74,Oaxaca,18,2018-10-10 13:29:01.761,2018-10-10 13:29:01.761
75,Antioquia,14,2018-10-11 02:59:21.483,2018-10-11 02:59:21.483
76,Pichincha,20,2018-10-17 13:47:53.154,2018-10-17 13:47:53.154
77,Ortiz,14,2018-10-17 13:56:05.958,2018-10-17 13:56:05.958
78,Nensebo,11,2018-10-19 13:04:47.895,2018-10-19 13:04:47.895
79,SNNPR,11,2018-10-21 23:54:23.297,2018-10-21 23:54:23.297
80,Puno,23,2018-10-22 00:13:35.390,2018-10-22 00:13:35.390
81,Northern Uganda,31,2018-10-25 01:10:14.320,2018-10-25 01:10:14.320
82,Keffa,11,2018-10-25 02:07:27.817,2018-10-25 02:07:27.817
85,Tarrazú,13,2018-10-26 12:25:03.949,2018-10-26 12:25:03.949
86,Ahuachapán,19,2018-10-26 12:33:16.824,2018-10-26 12:33:16.824
87,Soregeba,11,2018-10-31 13:38:17.169,2018-10-31 13:38:17.169
88,Caldas,14,2018-11-05 17:40:10.788,2018-11-05 17:40:10.788
89,Lambayeque,23,2018-11-07 13:50:09.427,2018-11-07 13:50:09.427
90,Sheka,11,2018-11-07 21:13:40.136,2018-11-07 21:13:40.136
91,Lake Kivu,41,2018-11-13 03:06:40.411,2018-11-13 03:06:40.411
92,Kochere,11,2018-11-14 17:14:23.757,2018-11-14 17:14:23.757
93,Mount Soloda,11,2018-11-21 01:21:00.194,2018-11-21 01:21:00.194
95,Bochesi,11,2018-12-04 01:21:36.139,2018-12-04 01:21:36.139
96,Matagalpa,17,2018-12-10 06:42:01.795,2018-12-10 06:42:01.795
97,Karatina,3,2018-12-17 16:42:28.314,2018-12-17 16:42:28.314
98,Various Regions,14,2018-12-19 17:50:19.107,2018-12-19 17:50:19.107
99,Lake Kivu,24,2019-01-02 18:11:56.896,2019-01-02 18:11:56.896
100,Western Highlands,25,2019-01-07 02:52:11.066,2019-01-07 02:52:11.066
101,Murang'a,3,2019-01-18 01:39:11.424,2019-01-18 01:39:11.424
102,Gakenke,24,2019-01-22 04:27:14.972,2019-01-22 04:27:14.972
103,Eastern Haraaz,47,2019-01-23 03:04:13.365,2019-01-23 03:04:13.365
104,Haraaz,47,2019-01-23 03:21:10.080,2019-01-23 03:21:10.080
105,Chimaltenango,4,2019-01-25 13:43:47.869,2019-01-25 13:43:47.869
106,Acatenango,4,2019-01-25 13:48:08.830,2019-01-25 13:48:08.830
108,El Boqueron,19,2019-01-30 14:38:42.503,2019-01-30 14:38:42.503
109,Kilimanjaro,27,2019-02-03 16:51:47.152,2019-02-03 16:51:47.152
110,Mt. Kenya,3,2019-02-06 13:40:56.164,2019-02-06 13:40:56.164
111,Huye District ,24,2019-02-06 18:29:37.291,2019-02-06 18:29:37.291
112,Eastern Highlands,25,2019-02-20 14:09:50.366,2019-02-20 14:09:50.366
113,Karongi,24,2019-02-20 14:44:10.184,2019-02-20 14:44:10.184
114,Bolinda,43,2019-02-27 13:45:53.421,2019-02-27 13:45:53.421
115,Samaipata,43,2019-02-27 13:51:15.685,2019-02-27 13:51:15.685
116,Cusco,23,2019-02-27 14:56:58.342,2019-02-27 14:56:58.342
119,Nariño,14,2019-03-06 14:38:21.330,2019-03-06 14:38:21.330
122,Cerro Mogotón,17,2019-03-17 20:30:08.243,2019-03-17 20:30:08.243
156,Eastern Region,31,2019-11-20 18:33:31.476,2019-11-20 18:33:31.476
159,Veracruz,18,2019-12-01 19:06:22.215,2019-12-01 19:06:22.215
164,Shan State,34,2020-01-04 01:59:11.840,2020-01-04 01:59:11.840
166,Aceh,32,2020-01-15 20:06:52.054,2020-01-15 20:06:52.054
168,Minas Gerais,16,2020-04-10 19:59:07.287,2020-04-10 19:59:07.287
170,Mount Elgon,31,2020-04-15 19:32:38.302,2020-04-15 19:32:38.302
172,Pérez Zeledón,13,2020-04-22 05:15:33.403,2020-04-22 05:15:33.403
107,Santander,14,2019-01-30 14:00:32.608,2020-05-15 20:29:08.360
175,Penachi,23,2020-05-26 22:02:37.354,2020-05-26 22:02:37.354
177,Western Region,31,2020-05-31 22:55:13.121,2020-05-31 22:55:13.121
179,"OROMIA, GUJI ZONE, URAGA WOREDA",11,2020-09-12 22:37:22.526,2020-09-12 22:37:22.526
117,Cundinamarca,14,2019-03-01 19:38:14.253,2019-03-01 19:38:14.253
118,Karinyaga,3,2019-03-04 16:43:33.352,2019-03-04 16:43:33.352
120,Nemba,12,2019-03-06 21:46:35.682,2019-03-06 21:46:35.682
121,Junin region,23,2019-03-08 04:18:48.689,2019-03-08 04:18:48.689
123,Kayanza,12,2019-03-24 14:21:42.986,2019-03-24 14:21:42.986
124,Huila,14,2019-03-24 14:30:09.129,2019-03-24 14:30:09.129
125,Oromia Region,11,2019-03-26 20:17:37.597,2019-03-26 20:17:37.597
126,Heza,12,2019-04-03 13:03:14.818,2019-04-03 13:03:14.818
127,Aiyura,25,2019-04-12 15:31:21.762,2019-04-12 15:31:21.762
128,Amazonas,23,2019-04-18 15:45:54.691,2019-04-18 15:45:54.691
129,El Chalum,4,2019-04-21 05:11:15.769,2019-04-21 05:11:15.769
130,Virunga Mountains,24,2019-04-21 20:37:24.280,2019-04-21 20:37:24.280
131,Songwe,27,2019-04-28 22:39:01.064,2019-04-28 22:39:01.064
132,Yungas,43,2019-05-08 01:03:45.170,2019-05-08 01:03:45.170
133,Junín,23,2019-05-13 16:56:00.455,2019-05-13 16:56:00.455
134,Paraná,16,2019-05-14 15:54:44.691,2019-05-14 15:54:44.691
135,Northern Burundi,12,2019-05-17 20:38:43.010,2019-05-17 20:38:43.010
136,La Paz,43,2019-05-28 13:26:43.876,2019-05-28 13:26:43.876
137,Imbabura,20,2019-05-31 18:04:04.381,2019-05-31 18:04:04.381
138,Sierra Nevada de Santa Marta,14,2019-06-12 15:23:31.848,2019-06-12 15:23:31.848
139,Rwenzori Mountains,31,2019-06-30 02:16:37.621,2019-06-30 02:16:37.621
140,Mount Elgon,3,2019-07-01 15:48:56.082,2019-07-01 15:48:56.082
141,Hawaii,15,2019-07-05 21:32:37.081,2019-07-05 21:32:37.081
142,Southwestern Highlands,11,2019-07-05 21:57:01.387,2019-07-05 21:57:01.387
143,Cauca,14,2019-07-09 19:40:59.277,2019-07-09 19:40:59.277
144,Java,32,2019-08-12 01:28:57.345,2019-08-12 01:28:57.345
145,Arusha,27,2019-09-04 17:10:18.791,2019-09-04 17:10:18.791
146,Sul de Minas,16,2019-09-16 01:02:25.526,2019-09-16 01:02:25.526
147,Misuku,21,2019-10-02 16:12:48.027,2019-10-02 16:12:48.027
148,Nord-Ouest,54,2019-10-03 01:22:20.826,2019-10-03 01:22:20.826
149,Nord-Quest,54,2019-10-03 01:25:25.248,2019-10-03 01:25:25.248
150,Cerro Buena Vista,13,2019-10-05 22:08:21.940,2019-10-05 22:08:21.940
151,Buena Vista de Rivas,13,2019-10-05 22:09:51.507,2019-10-05 22:09:51.507
152,Mantiqueira de Minas,16,2019-10-10 01:29:38.670,2019-10-10 01:29:38.670
153,Natural Reserve Cerro Datanli – El Diablo,17,2019-10-23 00:49:43.242,2019-10-23 00:49:43.242
154,Cerro Cacahuatique,19,2019-10-24 02:07:41.194,2019-10-24 02:07:41.194
157,Ixhuatlán,18,2019-11-21 00:53:38.036,2019-11-21 00:53:38.036
160,West Java,32,2019-12-11 22:01:47.109,2019-12-11 22:01:47.109
161,East Nusa Tenggara,32,2019-12-13 21:16:03.801,2019-12-13 21:16:03.801
165,Sheka Zone,11,2020-01-14 18:11:40.999,2020-01-14 18:11:40.999
167,Yunnan,40,2020-01-15 21:28:58.098,2020-01-15 21:28:58.098
169,Cartago,13,2020-04-15 19:20:19.292,2020-04-15 19:20:19.292
171,Kapkwai,31,2020-04-21 16:51:05.054,2020-04-21 16:51:05.054
173,Ibb Governorate,47,2020-05-12 00:07:59.482,2020-05-12 00:07:59.482
174,Intag,20,2020-05-25 21:48:35.936,2020-05-25 21:48:35.936
176,Southern Colombia,14,2020-05-31 21:10:29.501,2020-05-31 21:10:29.501
178,Northern Region,31,2020-06-10 17:57:31.219,2020-06-10 17:57:31.219
180,NGOZI BUSIGA,12,2020-11-26 15:45:54.709,2020-11-26 15:45:54.709
